smiles,pIC50
CCOc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(C)cc4s3)C2c2ccc(F)cc2)cc1,5.2596374
CC(C)n1cc(-c2cc(C(=O)Nc3cccc(-c4nncn4C4CC4)n3)c(=O)n(Cc3ccccc3F)c2)cn1,8.039529
Cc1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)nn1C,6.845576
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C3CC3)nn2C)n1,5.0
CS(=O)(=O)c1ccc2c(c1)C(=O)Nc1cccc(n1)-c1nncn1CCCCO2,5.842543
COc1ccccc1C(=O)Nc1cccc(-c2nncn2C)n1,7.036212
C[C@H]1CCCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn21,8.1549015
CN(C)CCn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,8.2218485
COc1ccccc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,6.5243287
O=C1Nc2cccc(n2)-c2nncn2CCCOc2ccccc21,5.2171693
COCCNC(=O)c1cccc(-c2n[nH]c3ccc(-c4nncn4C(C)C)cc23)c1,6.610834
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(C(=O)Nc4cnn(C)c4)c3)c2c1,6.8416376
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4cccc4)ccc3n2)cc1,7.5228786
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,7.79588
Cc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccc(Br)cc3)sc2c1,4.549751
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccn2)n1,7.36251
O=C(O)CCCCCN1C(=O)/C(=C/c2ccc(-c3cccc(C(F)(F)F)c3)o2)SC1=S,6.30103
COC(=O)CCCN1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,4.481486
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1,5.0
CC(C)n1cnnc1-c1cccc(N(C)C(=O)N(C)c2cc3ccccn3n2)n1,5.1777663
CCOC(C)n1cc(-c2cccc(-c3n[nH]c4ccc(-c5nncn5C(C)C)cc34)c2)cn1,7.5243287
COc1cc(-c2n[nH]c3ccc(-c4nncn4C(C)C)cc23)cc(-n2cnc(C3CC3)c2)c1,4.947152
CCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(C)cc3s2)cc1,5.69897
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2CCC2(F)F)n1,8.30103
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(-c4ccncc4)c3[nH]2)n1,7.636388
C[C@H](CO)n1cnnc1-c1cccc(NC(=O)c2cc3ccccc3[nH]2)n1,7.1837587
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,7.086186
Cn1cc(/C=C2\C(=O)Nc3ccccc32)c2ccccc21,4.481486
O=C(O)CCCN1C(=O)/C(=C/c2ccc(-c3ccccc3F)o2)SC1=S,5.5228786
CSCCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)c(Cl)c3)o2)SC1=S,6.124939
CCC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3cccc(Cl)c3)o2)SC1=S,6.124939
CCc1ccc(-c2ccc(/C=C3\SC(=S)N(C(CC(=O)O)C(=O)O)C3=O)o2)cc1,5.7447276
O=C(C1=C(O)C(=O)N(c2nc3ccc(F)cc3s2)C1c1ccc(Br)cc1)c1ccco1,4.549751
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)OCc2cncn2-3)n1,7.5086384
CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,4.5600047
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCCC2)cn1,8.721247
C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCC(C)(O)CC3)cn2)cs1)C(F)(F)F,8.744727
COc1ncc(-c2cc3c(c(NC(=O)CN4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,5.0
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2nc3ccccc3[nH]2)n1,6.95546
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)c1,5.2101374
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(C(F)(F)F)nn(C)c3nc2OCc2ccccc2F)n1,5.30103
O=C(Nc1cccc(-c2nncn2C2CC2)n1)c1cc(-c2cccnc2)cn(Cc2ccccc2F)c1=O,5.30103
CCn1ccc2cnc(NC(=O)c3ccc([C@@](C)(O)CO)c(C)c3)cc21,6.277366
Cc1cn(C)c2cc(NC(=O)c3ccc(C(C)(C)O)cc3)ncc12,7.537602
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2C2CC(F)(F)C2)n1,6.500313
COc1nn(-c2cnccn2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,7.236572
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@H](C)C(F)F)n1,6.844664
Cn1nc(C(F)(F)F)c2cc(C(=O)Nc3cccc(-c4nncn4C4CCCC4)c3)c(=O)[nH]c21,5.30103
O=C(Nc1cccc(-c2nncn2C2CC2)n1)c1cc(Br)cn(Cc2ccccc2F)c1=O,5.30103
CC(C)(O)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,7.154902
CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,4.60206
CCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1OCC,5.4436975
Cc1ccc(C(=O)C2=C(O)C(=O)N(c3nc4ccc(F)cc4s3)C2c2ccc(C(C)(C)C)cc2)o1,5.809668
Cn1cc(Br)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,7.69897
C[C@H](n1cnnc1-c1cccc(NC(=O)c2cccc3c2OCCN3C)n1)C(F)(F)F,6.7281585
COc1ncc(F)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,7.60206
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3ccc(N4CCOCC4)c(-n4cnc(C5CC5)c4)c3)c2c1,7.497573
O=C(O)CCCCCN1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,6.69897
O=C(O)CCCN1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,6.69897
Cc1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]n1,6.8480177
C[C@H](CO)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccc3n2)n1,6.943476
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3ccc(-c4cn[nH]c4)cc3[nH]2)n1,7.4259686
CC(C)c1cc(NC(=O)Nc2cccc(-c3nncn3C(C)C)n2)[nH]n1,6.405607
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cncc3ccccc23)n1,5.0
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccc3n2)n1,7.236572
Cc1ncn(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)c1C,7.0
CN1CCN(C(=O)C(C)(C)c2ccc(C(=O)Nc3cn4cc(-c5ccncc5)ccc4n3)cc2)CC1,5.0
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCC(=O)N3)n1,7.7212462
C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N(C)C)cn2)cs1)C(F)(F)F,8.725842
C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CC(C)(O)C3)cn2)cs1)C(F)(F)F,8.772113
CN1CCN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)CC1,8.508638
CN1N=C(C(F)(F)F)C2C=C(C(=O)Nc3cccc(-c4nncn4C4CC4)c3)C(=O)NC21,5.5686364
CC(C)(O)c1ccc(C(=O)Nc2cc3c(cn2)c(Br)cn3CC2CC2)cc1,8.522879
CCn1cc(C)c2cnc(NC(=O)c3ccc(C(C)(C)O)cc3)cc21,7.69897
CCOC(C)n1cc(-c2ccc3cc(C(=O)Nc4cccc(-c5nncn5C(C)C)n4)[nH]c3c2)cn1,7.0404816
COc1cc2nccc(Oc3ccc(NC(=O)c4cn(C(C)C)c5ccccc5c4=O)cc3)c2cc1OC,8.045757
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccccc21,7.958607
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(F)cc21,7.7695513
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(N3CC4(COC4)C3)cc21,7.552842
Cn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,7.60206
CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3cc(-c4ccsc4)ccc3n2)cc1,7.7212462
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-n4cnc(C5CC5)n4)c3)c2c1,7.4317985
c1cc(-c2n[nH]c3ccc(-c4nncn4C4CCCC4)cc23)cc(-n2cnc(C3CC3)c2)c1,7.266803
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)C(C)(C)CC(=O)N3C)n1,7.2006593
CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3c(cc2F)CCCC(=O)N3)n1,7.0655017
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCOCC2)cn1,8.841638
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCC(O)C2)cn1,8.522879
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncnc3ccccc23)n1,7.1487417
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncc3ccccc3n2)n1,7.1824346
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccn[nH]2)n1,7.175874
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cnc3ccccn23)n1,5.0
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccc(-c3cnn(C)c3)cn2)n1,7.192465
CCn1cc(C)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,7.7695513
Cn1c(Cl)c(Cl)c2cnc(NC(=O)c3ccc(C(C)(C)O)cc3)cc21,6.835647
COc1ccc(C(N)=O)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,9.0
CCn1cnc(NC(=O)c2ccoc2)c1,4.481486
O=C(O)CC(C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S,5.552842
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)cc1-n1cnc(C2CC2)c1,8.366531
[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,5.0
CCCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(C)cc3s2)cc1,5.2839966
CCOc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccc(C)cc4)C3c3ccc(C(C)(C)C)cc3)sc2c1,5.69897
CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,7.823909
CC(C)n1cnnc1-c1cccc(NC(=O)C2CN(c3ccccc3)CCO2)n1,6.8860564
CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,4.5228786
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cccc(-c3cnn(C)c3)c2)n1,5.673664
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc3ccccn3n2)n1,7.069051
CCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)OCCO4)=C(O)C(=O)N2c2nc3ccc(Cl)cc3s2)cc1,5.2839966
c1cc(-c2n[nH]c3ccc(-c4nncn4C4CCC4)cc23)cc(-n2cnc(C3CC3)c2)c1,5.1381073
O=C(Nc1cccc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1)c1ccc(C(F)(F)F)cc1,6.2740884
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-n4cnc(C5CC5)c4)c3)c2c1,7.2062097
COCCOc1ccc2c(c1)C(=O)N(c1cccc(-c3nncn3[C@H](C)CO)n1)C2,8.100016
CC(CF)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,7.8999743
CC(C)n1cnnc1-c1cccc(NC(=O)C2CCCCO2)n1,6.5686364
COCn1cc(-c2cccc(-c3n[nH]c4ccc(-c5nncn5C(C)C)cc34)c2)cn1,7.5702477
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cnn(C)c4)c3)c2c1,7.1965427
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cc(N4CCOCC4)cc(-n4cnc(C5CC5)c4)c3)c2c1,7.12436
Cc1cn(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,8.39794
CCn1cc(Cl)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)c(C)c3)cc21,7.387216
C[C@H]1CCCOc2ccccc2C(=O)Nc2cccc(n2)-c2nncn21,7.1366773
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,7.6777806
Cc1ccc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)cn2c1,7.6575775
CNC(=O)c1ccc(OC)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c1,8.619789
CC(C)n1cnnc1-c1cccc(NC(=O)c2cccc(C(N)=O)c2)n1,6.236572
Cn1c(Cl)c(Cl)c2cnc(NC(=O)c3ccc([C@@](C)(O)CO)cc3)cc21,6.91364
C[C@H](n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCC3)cn2)cs1)C(F)(F)F,8.769551
CC(C)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,7.8999743
COc1nn(-c2cccnn2)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,7.30103
CC(=O)c1c(O)nc2cccc3c2c1-c1ccccc1C3=O,4.823909
Cn1c(=O)c(NCCO)c2c3c(cccc31)C(=O)c1ccccc1-2,4.60206
COc1nn(C)cc1C(=O)Nc1cccc(-c2cncn2C(C)C)n1,7.031517
COc1nn(-c2cccnc2)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,8.275724
COCCn1cc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(OC)n1,7.455932
Fc1ccc(Nc2ncc3ccccc3n2)cc1,5.0
Cn1cc(-c2ccc3nc(Nc4ccccc4)ncc3c2)cn1,5.0
CC(C)n1cnnc1-c1cccc(NC(=O)c2nc3ccccc3s2)n1,6.2958493
CCOc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4cccs4)C3c3ccc(C)cc3)sc2c1,5.3565474
COc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccc(Cl)cc3)sc2c1,5.376751
COc1cc2nncc(Oc3ccc(NC(=O)c4cn(C(C)C)c5ccccc5c4=O)cc3)c2cc1OC,8.2218485
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(NC(=O)c4ccc(C(F)(F)F)cc4)c3)c2c1,6.705534
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cnn(C5CCOCC5)c4)c3)c2c1,7.3001623
CC(C)n1cnnc1-c1ccc2[nH]nc(-c3cccc(-c4cccnc4)c3)c2c1,6.5482135
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@@H]2CCOC2)n1,6.8894105
C[C@@H]1CCOc2cc(F)c(-c3cnn(CCN(C)C)c3)cc2C(=O)Nc2cccc(n2)-c2nncn2C1,8.09691
COc1nn(C)cc1C(=O)Nc1cccc(-c2nncn2[C@H](C)C(F)(F)F)n1,7.026872
C[C@@H]1CCOc2ccccc2C(=O)Nc2cccc(n2)-c2nncn2C1,7.853872
C[C@H]1CCCn2cnnc2-c2cccc(n2)NC(=O)c2ccccc2O1,6.013676
COc1cc(C)c(C(N)=O)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,9.376751
COc1cc(C)c(S(C)(=O)=O)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,8.39794
CC(CCO)n1cnnc1-c1cccc(N2Cc3ccccc3C2=O)n1,7.4000077
COc1nn(CC(F)(F)F)cc1C(=O)Nc1cccc(-c2nncn2[C@@H](C)C(F)(F)F)n1,8.522879
